Subject (No.),Delta (1-4 Hz),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Theta (4-8 Hz),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Alpha (8-12 Hz),Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Beta 1 (12-20 Hz),Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Beta 2 (20-30 Hz),Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Gamma 1 (30-60 Hz),Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Gamma 2 (60-100 Hz),Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Subject NO.,Mean HR (BPM),AVNN (ms),SDNN (ms),NN50 (beats),pNN50 (%),RMSSD (ms),LF (ms2),LF Norm (n.u.),HF (ms2),HF Norm (n.u.),LF/HF Ratio,stress
11.0,0.051918,0.051301,0.034402,0.032193,0.019528,0.0182,0.025489,0.025068,0.016843,0.016155,0.01787,0.014659,0.009313,0.0083419,0.011924,0.010935,0.0075184,0.0081134,0.0081923,0.0077545,0.00525,0.0042785,0.0066473,0.0067261,0.011163,0.013197,0.011954,0.011044,0.0085929,0.009113,0.010469,0.011045,0.0068915,0.0098587,0.0049768,0.0048448,0.0034677,0.0060137,0.0047711,0.0051218,0.016313,0.015624,0.0052534,0.0059699,0.0061665,0.015972,0.0044582,0.0043901,0.033189,0.010869,0.0040513,0.009699,0.0075572,0.01805,0.0050981,0.0049166,11,86.5463,693.2705,63.0757,118,25.7642,44.0142,1336.1264,46.7175,1523.41,53.2659,0.8771,0
12.0,0.032576,0.034096,0.04306,0.040442,0.02567,0.02182,0.037612,0.035968,0.01483,0.019284,0.027938,0.030818,0.009849,0.0062841,0.014005,0.01346,0.011252,0.012618,0.01859,0.018867,0.0087992,0.007129,0.019693,0.019479,0.014295,0.014032,0.016306,0.015105,0.016568,0.0087631,0.019116,0.017978,0.019875,0.013651,0.012465,0.010833,0.011598,0.0077071,0.011384,0.010141,0.035346,0.040474,0.0271,0.025827,0.033626,0.019261,0.025789,0.023457,0.020247,0.032283,0.016872,0.016078,0.025929,0.01295,0.017408,0.016016,12,91.612,654.9364,36.1332,4,0.8316,20.5588,165.5225,83.8688,31.537,15.9795,5.2485,0
13.0,0.12857,0.14516,0.16741,0.19861,0.088783,0.068061,0.11509,0.10887,0.048116,0.056888,0.087683,0.10923,0.031948,0.02522,0.064619,0.066806,0.043683,0.047985,0.059774,0.065917,0.028451,0.025291,0.064064,0.084565,0.058065,0.046346,0.061373,0.063924,0.034867,0.025268,0.07406,0.092637,0.048041,0.031971,0.032821,0.034804,0.021689,0.01534,0.026459,0.026453,0.066927,0.035745,0.033806,0.031246,0.042761,0.029768,0.030627,0.030368,0.033417,0.02521,0.024281,0.021939,0.04555,0.027805,0.024981,0.025337,13,103.5394,579.4898,24.7707,0,0.0,11.0756,138.303,76.244,43.0599,23.7382,3.2119,0
14.0,0.1534,0.15549,0.16248,0.16676,0.098729,0.12784,0.1237,0.13014,0.02957,0.033542,0.035612,0.04098,0.0098567,0.020941,0.018859,0.022887,0.022743,0.024255,0.027803,0.031106,0.0078855,0.020844,0.02298,0.033548,0.026082,0.026533,0.027533,0.028767,0.014156,0.022721,0.023003,0.029193,0.0399,0.039891,0.040702,0.041911,0.035834,0.037692,0.036027,0.037444,0.081801,0.082197,0.083179,0.081997,0.083213,0.080138,0.081129,0.080392,0.062087,0.07176,0.069775,0.065968,0.074981,0.070158,0.070395,0.069448,14,84.1268,713.2093,37.3606,16,3.5477,23.9446,466.4016,46.9848,526.1314,53.0019,0.8865,0
15.0,0.24254,0.25986,0.13582,0.11839,0.098648,0.11414,0.093411,0.10058,0.034855,0.033899,0.041233,0.037958,0.025214,0.016519,0.030469,0.028106,0.022463,0.020649,0.026453,0.024791,0.019924,0.012292,0.023765,0.02261,0.029394,0.028725,0.033023,0.027523,0.040281,0.027347,0.036922,0.029821,0.030605,0.031767,0.025863,0.025585,0.09847,0.052639,0.022498,0.020385,0.059493,0.055608,0.046696,0.041879,0.17038,0.11379,0.041324,0.039152,0.050624,0.043378,0.032363,0.029569,0.13191,0.10871,0.030453,0.028227,15,90.6684,661.752,45.3706,25,5.2301,26.7746,802.823,72.816,299.6265,27.1761,2.6794,0
16.0,0.28045,0.26526,0.11215,0.11941,0.07316,0.074506,0.083906,0.091201,0.031607,0.034209,0.029148,0.033691,0.016263,0.02456,0.020832,0.025418,0.017017,0.016039,0.018984,0.018797,0.0070194,0.01676,0.011029,0.015402,0.01645,0.017697,0.013984,0.015753,0.010843,0.048563,0.011857,0.01416,0.014598,0.014719,0.015967,0.013423,0.012559,0.083113,0.0091603,0.010602,0.02715,0.030411,0.02594,0.024127,0.02884,0.19117,0.019972,0.021363,0.024104,0.023946,0.022413,0.021676,0.034983,0.18246,0.018998,0.020912,16,83.1568,721.5286,37.4991,25,5.6306,26.6317,223.0761,34.562,422.2331,65.4181,0.5283,0
17.0,0.018746,0.019055,0.017849,0.019412,0.013403,0.016081,0.017304,0.01959,0.00628,0.0061928,0.0072725,0.0075142,0.0046985,0.0050472,0.0062329,0.0066815,0.0037676,0.0040414,0.0050562,0.0062889,0.0033916,0.0048979,0.011726,0.020274,0.0040762,0.003539,0.0032509,0.0034101,0.0026447,0.0036288,0.0030877,0.0038165,0.0064702,0.0064094,0.0027923,0.0027588,0.0024544,0.0022789,0.0018405,0.0022215,0.018167,0.015246,0.013034,0.013195,0.014139,0.015051,0.01262,0.013204,0.02499,0.017389,0.024748,0.024657,0.027197,0.028567,0.025912,0.026428,17,98.6289,608.341,18.9658,0,0.0,11.8645,63.6461,39.7781,96.3213,60.1998,0.6608,0
18.0,0.090009,0.10902,0.11483,0.12204,0.050443,0.049186,0.092864,0.10844,0.036625,0.042341,0.0665,0.074818,0.028313,0.029382,0.040838,0.036773,0.05451,0.057495,0.08042,0.10075,0.034453,0.042193,0.066517,0.075306,0.063443,0.047537,0.087777,0.085958,0.033077,0.042696,0.095221,0.1169,0.10158,0.034774,0.042296,0.041738,0.01752,0.019819,0.034539,0.030375,0.18985,0.055869,0.04845,0.047602,0.04829,0.038397,0.05816,0.043976,0.1958,0.036059,0.023836,0.021299,0.048766,0.019947,0.042423,0.027139,18,74.097,809.7495,50.6787,21,5.303,28.1089,312.9332,58.5094,220.3775,41.2042,1.42,0
19.0,0.14666,0.1396,0.10822,0.10735,0.084049,0.074619,0.101,0.088997,0.042891,0.041881,0.047124,0.044863,0.032278,0.023182,0.041442,0.035707,0.028053,0.031433,0.030847,0.032718,0.026283,0.016552,0.032607,0.030283,0.041759,0.03581,0.041498,0.033734,0.034656,0.023805,0.051033,0.042267,0.04465,0.041364,0.021626,0.017329,0.013334,0.017996,0.018571,0.015848,0.1117,0.077084,0.04356,0.029836,0.02913,0.035036,0.030036,0.029288,0.096771,0.083714,0.044179,0.029526,0.03196,0.032384,0.032177,0.032667,19,90.6769,661.6898,44.1642,110,22.5873,39.9126,206.3161,20.6959,790.1301,79.2592,0.2611,0
20.0,0.1351,0.16392,0.12009,0.14493,0.062069,0.069954,0.093507,0.099333,0.063553,0.068377,0.10717,0.10166,0.042801,0.04628,0.080444,0.074544,0.059169,0.072991,0.087774,0.099077,0.037181,0.062508,0.10783,0.10244,0.069201,0.074559,0.073527,0.069497,0.043883,0.041618,0.094567,0.11722,0.15425,0.12876,0.053236,0.04825,0.020524,0.023716,0.030657,0.038189,0.17386,0.17823,0.043722,0.043358,0.038399,0.033106,0.027392,0.029252,0.10324,0.13195,0.033273,0.031895,0.040436,0.038365,0.025688,0.025574,20,88.4213,678.5697,44.722,40,8.4926,29.8886,291.6401,29.0052,713.8041,70.9917,0.4086,0
22.0,0.20232,0.17035,0.1397,0.13045,0.071652,0.072493,0.10608,0.10703,0.050477,0.052356,0.071163,0.071572,0.03176,0.02917,0.051386,0.045462,0.055747,0.057978,0.06982,0.076419,0.051343,0.059108,0.10906,0.091191,0.051412,0.057595,0.059869,0.06643,0.057505,0.036851,0.063381,0.061908,0.082347,0.07604,0.060315,0.073921,0.059383,0.043193,0.055941,0.04993,0.11855,0.12026,0.080026,0.10242,0.11104,0.090181,0.10475,0.098919,0.091265,0.094619,0.068515,0.085805,0.094318,0.080674,0.088983,0.085597,21,97.2282,617.1047,24.1474,2,0.3817,16.5314,230.7019,59.1304,159.3495,40.8423,1.4478,1
23.0,0.18066,0.18017,0.12584,0.12398,0.060111,0.053364,0.094118,0.11108,0.058473,0.065517,0.067942,0.072226,0.026122,0.0238,0.045402,0.049849,0.049441,0.054876,0.058353,0.063764,0.036703,0.030594,0.081143,0.10964,0.047602,0.046896,0.046485,0.046931,0.069794,0.020951,0.045848,0.049921,0.052511,0.03356,0.037217,0.033344,0.07375,0.013697,0.028256,0.0253,0.079978,0.055532,0.061402,0.047342,0.17088,0.024376,0.048654,0.041613,0.078045,0.060275,0.063852,0.048979,0.12886,0.028327,0.055549,0.047913,22,90.1584,665.4953,34.4846,16,3.2653,25.5431,188.4894,68.1712,87.7056,31.7206,2.1491,1
24.0,0.10146,0.092357,0.066615,0.071517,0.023331,0.037621,0.061231,0.06883,0.033124,0.03373,0.041005,0.046953,0.011355,0.016972,0.029248,0.032275,0.027285,0.031917,0.034382,0.043081,0.019159,0.019234,0.04626,0.037466,0.039362,0.058774,0.026668,0.0442,0.014436,0.015769,0.025593,0.024072,0.10757,0.22558,0.035915,0.069592,0.010713,0.010031,0.014835,0.013769,0.15881,0.27841,0.059139,0.1012,0.029559,0.026645,0.027287,0.028193,0.10482,0.13947,0.037378,0.075448,0.0315,0.024094,0.025819,0.024688,23,86.2001,696.0546,36.3427,47,10.1732,31.8738,169.9935,19.2372,713.6294,80.7575,0.2382,1
25.0,0.10601,0.10815,0.094199,0.09138,0.052389,0.04501,0.067508,0.063679,0.030053,0.0294,0.038368,0.035266,0.01749,0.013696,0.027668,0.02401,0.023886,0.023417,0.027531,0.02716,0.01858,0.015428,0.029535,0.034457,0.029879,0.029813,0.028141,0.02351,0.043,0.046026,0.025938,0.02504,0.056164,0.05603,0.035638,0.027821,0.097593,0.14666,0.017802,0.0163,0.096083,0.099832,0.056942,0.041178,0.17672,0.24808,0.031357,0.02952,0.075094,0.077925,0.043026,0.032945,0.16082,0.20832,0.028678,0.02632,24,87.0338,689.3876,37.2899,57,12.311,33.6804,338.1171,33.0471,684.9377,66.9449,0.4936,1
26.0,0.17195,0.16226,0.1686,0.18531,0.10488,0.10694,0.14176,0.14771,0.0281,0.027403,0.044144,0.044124,0.024031,0.020557,0.042768,0.040311,0.015734,0.016689,0.021675,0.023613,0.014253,0.012759,0.030291,0.02601,0.037093,0.039222,0.040834,0.041591,0.043035,0.041144,0.056345,0.0425,0.052669,0.049523,0.03958,0.040319,0.062068,0.067163,0.053557,0.038843,0.11398,0.10326,0.064632,0.069673,0.1564,0.15523,0.1246,0.073406,0.11165,0.094703,0.051528,0.055253,0.14949,0.14495,0.10219,0.056331,25,79.3957,755.7088,25.7966,5,1.1848,22.5872,252.4217,55.8854,199.2268,44.1082,1.267,1
27.0,0.055041,0.052186,0.0451,0.048915,0.033863,0.033207,0.051446,0.053994,0.02657,0.02784,0.028438,0.030623,0.022311,0.019571,0.026706,0.026579,0.013823,0.014347,0.016944,0.019688,0.016403,0.015542,0.037649,0.033269,0.021313,0.021481,0.020571,0.027672,0.038224,0.025545,0.03311,0.030386,0.02809,0.026503,0.015317,0.01927,0.035762,0.024737,0.030142,0.023606,0.044899,0.038589,0.031589,0.038531,0.10044,0.057553,0.070308,0.048548,0.035008,0.025431,0.023648,0.027382,0.070965,0.038887,0.046362,0.033397,26,74.0153,810.6431,39.725,103,26.0101,41.5743,292.6984,37.5743,479.6967,61.5797,0.6102,1
28.0,0.17165,0.19148,0.14152,0.14715,0.085642,0.075247,0.11702,0.11243,0.045544,0.04757,0.061993,0.059469,0.03306,0.024624,0.052564,0.051351,0.047335,0.048044,0.059295,0.060016,0.047463,0.027638,0.066073,0.069657,0.050375,0.044957,0.053922,0.052062,0.048099,0.03251,0.049165,0.048757,0.075509,0.071813,0.072064,0.073943,0.070082,0.062799,0.065699,0.065116,0.15197,0.1366,0.12724,0.12841,0.13755,0.14801,0.12014,0.12215,0.14257,0.13557,0.12787,0.13629,0.1324,0.16733,0.12374,0.12959,27,77.9974,769.2566,51.0039,93,22.3558,42.0397,742.9296,46.3655,858.9448,53.6059,0.8649,1
29.0,0.1698,0.19561,0.12623,0.13531,0.057306,0.072014,0.10728,0.10649,0.045934,0.055652,0.060944,0.073518,0.025904,0.03976,0.051294,0.056469,0.044785,0.05099,0.055979,0.069196,0.027366,0.049858,0.097362,0.13099,0.053578,0.060479,0.055036,0.059788,0.077869,0.088468,0.051074,0.058709,0.057104,0.068561,0.048404,0.057169,0.06068,0.085282,0.047362,0.051363,0.10798,0.12225,0.092299,0.10491,0.18234,0.22918,0.097941,0.10704,0.070713,0.0778,0.048235,0.053604,0.1525,0.16035,0.056511,0.054466,28,61.3208,978.4605,102.6904,158,47.0238,72.1168,5076.786,71.3517,2037.3,28.6332,2.4919,1
30.0,0.51899,0.44784,0.41734,0.39934,0.14659,0.18994,0.46294,0.48969,0.025682,0.026155,0.030574,0.032916,0.01425,0.014984,0.024422,0.024734,0.011619,0.013169,0.011882,0.012512,0.0090537,0.0079541,0.015018,0.017779,0.019369,0.02876,0.017957,0.019239,0.049515,0.011972,0.026272,0.02472,0.029517,0.044919,0.016184,0.017025,0.035324,0.0095116,0.012553,0.0098637,0.033082,0.05555,0.013986,0.014221,0.12336,0.01029,0.0092618,0.0090612,0.016263,0.032023,0.010064,0.0086077,0.12419,0.010329,0.0073375,0.0079926,29,66.5853,901.0994,43.6004,102,28.9773,42.2324,295.8167,28.5656,739.5732,71.4171,0.4,1
31.0,0.055817,0.048158,0.040051,0.038571,0.016931,0.016959,0.032371,0.032477,0.01992,0.019282,0.031197,0.034031,0.013447,0.011796,0.024993,0.023902,0.024594,0.026652,0.033581,0.037335,0.019932,0.017386,0.087138,0.095213,0.024029,0.042292,0.017482,0.023798,0.068761,0.009369,0.017608,0.017333,0.043854,0.11536,0.025505,0.05312,0.065099,0.0096667,0.010952,0.012013,0.059396,0.13307,0.027188,0.049189,0.23781,0.019349,0.012694,0.012043,0.029639,0.059623,0.015906,0.024778,0.17548,0.023479,0.011456,0.011161,30,88.1712,680.4945,47.0552,90,18.0723,38.5643,607.9184,32.5036,1262.324,67.4927,0.4816,1
32.0,0.12788,0.12428,0.044254,0.055974,0.021093,0.024086,0.032496,0.037126,0.02542,0.026267,0.021028,0.024996,0.0083856,0.012793,0.013931,0.016722,0.027113,0.028504,0.028742,0.032875,0.011872,0.019315,0.022006,0.033891,0.013502,0.017052,0.019263,0.016598,0.022914,0.014792,0.011366,0.012884,0.026863,0.025302,0.03305,0.02248,0.063224,0.023546,0.019805,0.019309,0.052351,0.05622,0.095769,0.043328,0.13335,0.05235,0.042628,0.039059,0.061094,0.069648,0.16958,0.052274,0.15102,0.063111,0.054004,0.048281,31,64.7331,926.8834,50.0231,121,37.5776,59.9098,1290.968,68.2151,600.1388,31.7115,2.1511,1
33.0,0.034033,0.035452,0.029694,0.034093,0.016914,0.018528,0.026443,0.027111,0.010001,0.010389,0.012189,0.012397,0.0063627,0.0054989,0.0085634,0.0076015,0.0050337,0.0053877,0.0068833,0.0068686,0.0039853,0.0040818,0.0059659,0.0049924,0.0057499,0.0058842,0.0071698,0.0065987,0.0066782,0.0080086,0.0071412,0.0053828,0.0058761,0.0062548,0.0070664,0.0067685,0.0086168,0.011064,0.0068787,0.0066403,0.017217,0.016863,0.017354,0.017648,0.031105,0.038209,0.019417,0.018679,0.023379,0.023011,0.023904,0.024312,0.046834,0.055379,0.028087,0.026282,32,82.7607,724.9816,39.8945,73,16.4414,35.7438,636.8204,51.6751,595.4026,48.3142,1.0696,1
34.0,0.039886,0.046477,0.015949,0.018755,0.0074662,0.009355,0.013776,0.011992,0.0070247,0.0092023,0.0083514,0.010667,0.003368,0.0047459,0.006608,0.0058561,0.011671,0.013226,0.014179,0.015822,0.007838,0.0085432,0.017069,0.017956,0.010706,0.013307,0.012807,0.014068,0.0044801,0.0059901,0.0068854,0.0078954,0.0091197,0.0080284,0.0040108,0.0039134,0.0019164,0.0029404,0.0025631,0.0026659,0.019466,0.01614,0.01152,0.012008,0.011967,0.012426,0.010459,0.010723,0.022345,0.020708,0.018438,0.018674,0.020601,0.020615,0.019287,0.019818,33,83.4961,718.5962,29.6105,12,2.6846,22.2714,526.2152,69.6351,229.3889,30.3555,2.294,1
35.0,0.036564,0.035996,0.040036,0.040239,0.027506,0.024911,0.028576,0.029299,0.012681,0.012225,0.015849,0.016142,0.010021,0.008848,0.010886,0.011416,0.0079713,0.0075529,0.0098376,0.0093187,0.0055426,0.0047499,0.010196,0.011993,0.011709,0.010788,0.015843,0.013903,0.009789,0.0062726,0.013643,0.011863,0.0054493,0.0039902,0.0088813,0.0042284,0.003703,0.0021513,0.0040338,0.0035219,0.028415,0.020867,0.042472,0.019159,0.021996,0.018743,0.019407,0.019306,0.036196,0.018254,0.06477,0.016211,0.0214,0.016565,0.017069,0.016946,34,92.6309,647.7319,18.9466,1,0.202,15.6588,210.0217,61.7221,130.1412,38.2465,1.6138,1
36.0,0.049885,0.052026,0.054837,0.06204,0.032411,0.034503,0.053609,0.077215,0.042754,0.049317,0.047248,0.056398,0.021462,0.038258,0.02808,0.03711,0.032817,0.035102,0.037125,0.038356,0.02262,0.022417,0.021284,0.024629,0.051138,0.063836,0.035257,0.042067,0.023752,0.029056,0.016489,0.021137,0.049018,0.063055,0.023909,0.029207,0.026149,0.018626,0.011536,0.012285,0.050419,0.087773,0.028887,0.040542,0.054767,0.039272,0.02138,0.019562,0.029368,0.053038,0.02548,0.03765,0.05825,0.039147,0.02646,0.020224,35,63.3933,946.4718,40.377,75,21.3675,39.6294,1142.512,84.61,206.9241,15.324,5.5214,1
37.0,0.098456,0.084246,0.10324,0.085917,0.068711,0.03466,0.080594,0.069706,0.040047,0.035009,0.049093,0.039051,0.028686,0.015192,0.038664,0.032019,0.02095,0.019086,0.028498,0.024024,0.023009,0.00926,0.03309,0.020882,0.019351,0.016978,0.021583,0.02013,0.02234,0.010368,0.026885,0.019507,0.011176,0.010045,0.010865,0.0099477,0.010773,0.0057047,0.011249,0.0085452,0.022336,0.02233,0.017453,0.017156,0.017495,0.014752,0.01944,0.017642,0.023469,0.024147,0.019097,0.020907,0.021137,0.019747,0.022482,0.022226,36,76.8654,780.5857,33.418,14,3.3175,22.8035,904.8575,83.1049,183.8637,16.8866,4.9213,1
